[PORT] Open: demo.testfire.net:25
[PORT] Open: demo.testfire.net:53
[PORT] Open: demo.testfire.net:80
[PORT] Open: demo.testfire.net:443
[PORT] Open: demo.testfire.net:8080
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=security.htm
[FORM XSS] Possible: http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=business_insurance.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=security.htm
[FORM XSS] Possible: http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=inside.htm
[FORM XSS] Possible: http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=business_insurance.htm
[FORM XSS] Possible: http://demo.testfire.net/default.jsp?content=security.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=inside_contact.htm#ContactUs
[FORM XSS] Possible: http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=inside.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=inside_contact.htm#ContactUs
[FORM XSS] Possible: http://demo.testfire.net/default.jsp?content=security.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=pr/20060413.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=pr/20060413.htm
[FORM XSS] Possible: http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=personal_loans.htm
[FORM XSS] Possible: http://demo.testfire.net/admin/cgi.exe
[FORM XSS] Possible: http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=personal_loans.htm
[FORM XSS] Possible: http://demo.testfire.net/admin/cgi.exe
[FORM XSS] Possible: http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=personal.htm
[FORM XSS] Possible: http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=business_other.htm
[FORM XSS] Possible: http://demo.testfire.net/admin/index.jsp?content=inside_about.htm
[FORM XSS] Possible: http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=personal.htm
[FORM XSS] Possible: http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=business_other.htm
[FORM XSS] Possible: http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=personal_checking.htm
[FORM XSS] Possible: http://demo.testfire.net/admin/index.jsp?content=inside_about.htm
[FORM XSS] Possible: http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=personal_checking.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=inside_jobs.htm&job=Teller:ConsumaerBanking
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=inside_careers.htm
[FORM XSS] Possible: http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=inside_press.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=inside_careers.htm
[FORM XSS] Possible: http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=inside_press.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=inside_jobs.htm&job=Teller:ConsumaerBanking
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=inside_executives.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=inside_executives.htm
[FORM XSS] Possible: http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=inside_contact.htm
[FORM XSS] Possible: http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=inside_contact.htm
[FORM XSS] Possible: http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=business_cards.htm
[FORM XSS] Possible: http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=inside_investor.htm
[FORM XSS] Possible: http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=business_cards.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=inside_volunteering.htm#gift
[FORM XSS] Possible: http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=personal_other.htm
[FORM XSS] Possible: http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=inside_investor.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=inside_volunteering.htm#gift
[FORM XSS] Possible: http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=personal_other.htm
[FORM XSS] Possible: http://demo.testfire.net/admin/index.jsp?content=personal_deposit.htm
[FORM XSS] Possible: http://demo.testfire.net/admin/index.jsp?content=business_deposit.htm
[FORM XSS] Possible: http://demo.testfire.net/Documents/JohnSmith/VoluteeringInformation.pdf
[FORM XSS] Possible: http://demo.testfire.net/admin/index.jsp?content=business_deposit.htm
[FORM XSS] Possible: http://demo.testfire.net/admin/index.jsp?content=personal_deposit.htm
[FORM XSS] Possible: http://demo.testfire.net/Documents/JohnSmith/VoluteeringInformation.pdf
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=personal_checking.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=personal_checking.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=business_retirement.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=business_retirement.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=personal.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=business.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=personal.htm
[FORM XSS] Possible: http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=business_deposit.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=business.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=inside_benefits.htm
[FORM XSS] Possible: http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=business_deposit.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=inside_benefits.htm
[FORM XSS] Possible: http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=business_other.htm
[FORM XSS] Possible: http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=business_other.htm
[FORM XSS] Possible: http://demo.testfire.net/survey_questions.jsp
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=inside_about.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=inside_about.htm
[FORM XSS] Possible: http://demo.testfire.net/survey_questions.jsp
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=personal_loans.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=personal_loans.htm
[FORM XSS] Possible: http://demo.testfire.net/Documents/JohnSmith/subscribe.jsp
[FORM XSS] Possible: http://demo.testfire.net/admin/index.jsp?content=inside_careers.htm
[FORM XSS] Possible: http://demo.testfire.net/Documents/JohnSmith/subscribe.jsp
[FORM XSS] Possible: http://demo.testfire.net/Documents/JohnSmith/cgi.exe
[FORM XSS] Possible: http://demo.testfire.net/admin/index.jsp?content=inside_careers.htm
[FORM XSS] Possible: http://demo.testfire.net/Documents/JohnSmith/cgi.exe
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=inside_investor.htm
[FORM XSS] Possible: http://demo.testfire.net/cgi.exe
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=business_lending.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=inside_investor.htm
[FORM XSS] Possible: http://demo.testfire.net/cgi.exe
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=business_lending.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=inside_jobs.htm&job=LoyaltyMarketingProgramManager:Marketing
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=inside_jobs.htm&job=LoyaltyMarketingProgramManager:Marketing
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=inside_volunteering.htm#time
[FORM XSS] Possible: http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=personal_cards.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=inside_volunteering.htm#time
[FORM XSS] Possible: http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=personal_cards.htm
